Unnamed: 0,Employee_ID,Full_Name,Department,Job_Title,Hire_Date,Location,Performance_Rating,Experience_Years,Status,Work_Mode,Salary_INR,Job_Level
19,EMP0000020,Donald Hoffman,Marketing,Content Strategist,2022-04-01T00:00:00.000Z,"South James, New Zealand",3.0,3.0,Resigned,On-site,965154.0,Specialist
20,EMP0000021,Mr. Billy Rodgers DDS,Marketing,Marketing Executive,2017-10-12T00:00:00.000Z,"West Bryanton, Saint Martin",3.0,7.0,Terminated,On-site,796532.0,Analyst
21,EMP0000022,Kylie May,IT,DevOps Engineer,2015-07-07T00:00:00.000Z,"Houstonland, Qatar",2.0,10.0,Active,On-site,723820.0,Manager
22,EMP0000023,James Valdez,R&D,Research Scientist,2017-10-30T00:00:00.000Z,"East Scott, Mauritius",5.0,7.0,Retired,On-site,789283.0,Analyst
23,EMP0000024,Allen Palmer,Finance,Accountant,2022-05-17T00:00:00.000Z,"Lake Brittney, Albania",4.0,3.0,Resigned,Remote,577616.0,Specialist
24,EMP0000025,Amanda Miller,IT,IT Manager,2021-07-31T00:00:00.000Z,"Tammyview, Barbados",2.0,4.0,Active,Remote,2153098.0,Analyst
25,EMP0000026,Craig Kelly,IT,Software Engineer,2025-01-15T00:00:00.000Z,"Martinmouth, Switzerland",1.0,0.0,Resigned,Remote,1201087.0,Specialist
26,EMP0000027,Daniel Hernandez,Sales,Sales Executive,2019-09-12T00:00:00.000Z,"Port Jacob, Falkland Islands (Malvinas)",3.0,5.0,Active,On-site,742262.0,Analyst
27,EMP0000028,James Young,Marketing,Marketing Executive,2020-11-17T00:00:00.000Z,"Limouth, Saint Vincent and the Grenadines",2.0,4.0,Active,Remote,670863.0,Analyst
28,EMP0000029,Steven Castillo,Operations,Supply Chain Manager,2023-08-04T00:00:00.000Z,"Troyberg, Guadeloupe",2.0,2.0,Active,On-site,969155.0,Specialist
29,EMP0000030,Kimberly Russo,Finance,Finance Manager,2021-08-15T00:00:00.000Z,"New Hollyhaven, Vietnam",4.0,4.0,Active,Remote,1508236.0,Analyst
30,EMP0000031,Nathan Smith,IT,Software Engineer,2019-02-13T00:00:00.000Z,"Anthonyburgh, Bahamas",4.0,6.0,Active,On-site,1076433.0,Analyst
31,EMP0000032,Jeffery Chapman,Sales,Account Manager,2020-10-21T00:00:00.000Z,"New Tyler, Kazakhstan",4.0,4.0,Active,On-site,512557.0,Analyst
32,EMP0000033,Cristian Thomas,IT,IT Manager,2021-02-14T00:00:00.000Z,"North Markbury, San Marino",3.0,4.0,Active,Remote,2408177.0,Analyst
33,EMP0000034,Steve Carlson,IT,Software Engineer,2020-04-25T00:00:00.000Z,"Grahamfurt, Jamaica",5.0,5.0,Terminated,On-site,1039192.0,Analyst
34,EMP0000035,Kathleen Shields,IT,IT Manager,2023-07-26T00:00:00.000Z,"North Brianmouth, Zambia",1.0,2.0,Retired,On-site,2615626.0,Specialist
35,EMP0000036,Amanda Mooney,IT,Data Analyst,2024-04-05T00:00:00.000Z,"Colehaven, Singapore",4.0,1.0,Active,Remote,511161.0,Specialist
36,EMP0000037,Jennifer Conway,Marketing,SEO Specialist,2024-12-11T00:00:00.000Z,"South Madison, Nigeria",4.0,0.0,Active,Remote,814964.0,Specialist
37,EMP0000038,Doris Lambert,HR,Talent Acquisition Specialist,2019-03-14T00:00:00.000Z,"Ayalafurt, Estonia",1.0,6.0,Active,On-site,892414.0,Analyst
38,EMP0000039,Jeffrey Lucas,IT,Software Engineer,2021-10-20T00:00:00.000Z,"Thompsonport, Paraguay",1.0,3.0,Active,On-site,1054801.0,Specialist
39,EMP0000040,Emily Hudson,Finance,Finance Manager,2021-05-25T00:00:00.000Z,"Ortizbury, Senegal",2.0,4.0,Resigned,Remote,1448066.0,Analyst
40,EMP0000041,Vanessa Rodriguez,Sales,Sales Executive,2011-01-29T00:00:00.000Z,"West Paula, Nepal",2.0,14.0,Active,Remote,865319.0,Principal
41,EMP0000042,Justin Hendricks,IT,Software Engineer,2015-12-31T00:00:00.000Z,"Laurafort, Bahrain",1.0,9.0,Active,On-site,746812.0,Manager
42,EMP0000043,John Daniels,Marketing,Marketing Executive,2019-03-25T00:00:00.000Z,"East Charles, Qatar",4.0,6.0,Resigned,On-site,671963.0,Analyst
43,EMP0000044,Sandra Wolf,R&D,Product Developer,2025-02-22T00:00:00.000Z,"Lake Jennifer, United States Minor Outlying Islands",3.0,0.0,Active,On-site,1033879.0,Specialist
44,EMP0000045,Annette Mcdowell,Sales,Sales Executive,2017-12-08T00:00:00.000Z,"Lake Heather, Dominica",4.0,7.0,Resigned,On-site,845092.0,Analyst
45,EMP0000046,James Miller,Marketing,SEO Specialist,2022-03-24T00:00:00.000Z,"Melissafurt, Brunei Darussalam",5.0,3.0,Active,Remote,768681.0,Specialist
46,EMP0000047,Donna Estes,Operations,Operations Director,2011-06-15T00:00:00.000Z,"East Tina, China",2.0,14.0,Active,On-site,982133.0,Executive
47,EMP0000048,Tom Mills,HR,HR Executive,2024-01-31T00:00:00.000Z,"Johnsonside, Ghana",1.0,1.0,Active,Remote,565467.0,Specialist
48,EMP0000049,Chad Newton,IT,DevOps Engineer,2015-10-15T00:00:00.000Z,"South Jerryhaven, Mongolia",3.0,9.0,Resigned,Remote,709525.0,Manager
49,EMP0000050,Gary Charles,Operations,Supply Chain Manager,2024-09-25T00:00:00.000Z,"Navarroberg, Switzerland",1.0,0.0,Active,On-site,459800.0,Specialist
50,EMP0000051,Dylan Welch,Sales,Account Manager,2011-08-11T00:00:00.000Z,"West Kevinfurt, Jordan",4.0,14.0,Active,Remote,915341.0,Principal
51,EMP0000052,Kevin Johnson,Marketing,SEO Specialist,2017-05-14T00:00:00.000Z,"South Davidburgh, Kyrgyz Republic",2.0,8.0,Retired,Remote,997151.0,Analyst
52,EMP0000053,Keith Diaz,HR,HR Executive,2022-06-08T00:00:00.000Z,"New Pamela, Tokelau",1.0,3.0,Active,On-site,327765.0,Specialist
53,EMP0000054,Allison Williams,Sales,Sales Executive,2017-11-23T00:00:00.000Z,"Robertborough, Bolivia",2.0,7.0,Active,On-site,603678.0,Analyst
54,EMP0000055,Jeffrey Schwartz,HR,Talent Acquisition Specialist,2024-04-12T00:00:00.000Z,"Isaiahport, Japan",3.0,1.0,Retired,Remote,949067.0,Specialist
55,EMP0000056,Pamela Gross,IT,Software Engineer,2024-02-21T00:00:00.000Z,"Davidstad, Estonia",3.0,1.0,Resigned,Remote,1493640.0,Specialist
56,EMP0000057,Claire Martinez,IT,DevOps Engineer,2020-01-17T00:00:00.000Z,"Garciaton, Libyan Arab Jamahiriya",5.0,5.0,Terminated,Remote,838341.0,Analyst
57,EMP0000058,Alexander Mitchell,IT,CTO,2023-11-19T00:00:00.000Z,"South Charles, Iran",1.0,1.0,Active,On-site,706360.0,Executive
58,EMP0000059,Jessica Ellison,IT,Data Analyst,2015-10-26T00:00:00.000Z,"South Mark, Djibouti",3.0,9.0,Active,On-site,1153931.0,Manager
59,EMP0000060,Lisa Mcintosh MD,IT,Software Engineer,2016-08-09T00:00:00.000Z,"Wrightview, Guernsey",2.0,9.0,Active,Remote,1608951.0,Manager
60,EMP0000061,Ross Flores,IT,Software Engineer,2025-03-31T00:00:00.000Z,"North Zacharyland, Zambia",2.0,0.0,Active,On-site,724230.0,Specialist
61,EMP0000062,Kelly Myers,R&D,Product Developer,2022-02-10T00:00:00.000Z,"Port Sethtown, Guyana",3.0,3.0,Active,On-site,985454.0,Specialist
62,EMP0000063,Michael Gomez,IT,Data Analyst,2015-11-08T00:00:00.000Z,"Lake Juliestad, Afghanistan",1.0,9.0,Active,On-site,641799.0,Manager
63,EMP0000064,Jaime Jackson,Finance,Financial Analyst,2023-11-03T00:00:00.000Z,"New Molly, Saint Pierre and Miquelon",3.0,1.0,Active,On-site,1439081.0,Specialist
64,EMP0000065,Dana Horton,HR,Talent Acquisition Specialist,2024-08-15T00:00:00.000Z,"Port Michael, Gabon",2.0,0.0,Active,On-site,452360.0,Specialist
65,EMP0000066,Christopher Irwin,HR,HR Executive,2016-09-20T00:00:00.000Z,"South Toddport, Seychelles",5.0,8.0,Resigned,Remote,308469.0,Analyst
66,EMP0000067,Ana Simmons,R&D,Research Scientist,2016-09-02T00:00:00.000Z,"Lake Jason, Portugal",5.0,8.0,Resigned,On-site,776228.0,Analyst
67,EMP0000068,Brian Short,Marketing,Marketing Executive,2022-07-18T00:00:00.000Z,"West Paul, Slovakia (Slovak Republic)",3.0,3.0,Active,On-site,1113271.0,Specialist
68,EMP0000069,Diana Combs,IT,Software Engineer,2014-07-23T00:00:00.000Z,"South Angelastad, Palestinian Territory",5.0,11.0,Resigned,Remote,1136918.0,Manager
69,EMP0000070,Amanda Steele,Sales,Sales Executive,2016-07-10T00:00:00.000Z,"Floresborough, Lebanon",3.0,9.0,Resigned,On-site,701012.0,Manager
70,EMP0000071,Jason Mueller,IT,Data Analyst,2018-10-11T00:00:00.000Z,"Martinton, Paraguay",3.0,6.0,Active,Remote,721366.0,Analyst
71,EMP0000072,Robert Phillips,Marketing,SEO Specialist,2023-12-11T00:00:00.000Z,"Francoburgh, Andorra",5.0,1.0,Resigned,On-site,634126.0,Specialist
72,EMP0000073,Sara Pham,IT,Data Analyst,2025-05-18T00:00:00.000Z,"Castilloport, Tonga",5.0,0.0,Active,Remote,777497.0,Specialist
73,EMP0000074,Mary Rowland,IT,DevOps Engineer,2019-06-23T00:00:00.000Z,"West Markfurt, Albania",3.0,6.0,Active,Remote,739400.0,Analyst
74,EMP0000075,Anthony Suarez MD,IT,Software Engineer,2021-08-28T00:00:00.000Z,"New Christopher, Moldova",1.0,3.0,Active,Remote,978030.0,Specialist
75,EMP0000076,Kristin Hodges,Marketing,Content Strategist,2015-10-28T00:00:00.000Z,"Nelsontown, Anguilla",5.0,9.0,Active,On-site,1093462.0,Manager
76,EMP0000077,Elizabeth Brown,R&D,Research Scientist,2024-02-16T00:00:00.000Z,"North Rachel, Zimbabwe",1.0,1.0,Active,Remote,548919.0,Specialist
77,EMP0000078,Scott Harrison,Sales,Sales Executive,2016-05-19T00:00:00.000Z,"Susanton, Bermuda",5.0,9.0,Retired,Remote,614652.0,Manager
78,EMP0000079,David Chen,IT,Software Engineer,2018-06-26T00:00:00.000Z,"Markberg, Turkey",5.0,7.0,Active,On-site,616692.0,Analyst
79,EMP0000080,Debra Lucas,Operations,Supply Chain Manager,2018-09-05T00:00:00.000Z,"South Hayley, Albania",1.0,6.0,Active,On-site,683272.0,Analyst
80,EMP0000081,Bruce Burns,Finance,Accountant,2025-06-27T00:00:00.000Z,"Frostshire, Northern Mariana Islands",4.0,0.0,Active,On-site,435627.0,Specialist
81,EMP0000082,David Powell,Finance,Accountant,2015-08-29T00:00:00.000Z,"Lake Erinmouth, Czech Republic",1.0,9.0,Resigned,On-site,552885.0,Manager
82,EMP0000083,Tricia Jimenez,Sales,Business Development Manager,2020-03-29T00:00:00.000Z,"South Tyrone, French Guiana",1.0,5.0,Resigned,Remote,1608034.0,Analyst
83,EMP0000084,Douglas Robinson,IT,DevOps Engineer,2018-05-29T00:00:00.000Z,"South Sharonburgh, Burundi",5.0,7.0,Active,Remote,1017531.0,Analyst
84,EMP0000085,Daniel Singleton,Operations,Operations Director,2025-07-22T00:00:00.000Z,"Johnsonland, Saudi Arabia",2.0,0.0,Retired,Remote,988534.0,Executive
85,EMP0000086,Scott Sims,IT,Software Engineer,2021-03-28T00:00:00.000Z,"Kevintown, Guam",3.0,4.0,Active,Remote,665014.0,Analyst
86,EMP0000087,Cynthia Dennis,Marketing,SEO Specialist,2016-08-21T00:00:00.000Z,"Cheyenneshire, Western Sahara",4.0,8.0,Active,On-site,739277.0,Analyst
87,EMP0000088,Jennifer Hunt,Marketing,Marketing Executive,2013-09-07T00:00:00.000Z,"New Amber, Lithuania",5.0,11.0,Active,On-site,811697.0,Manager
88,EMP0000089,Christopher Martin,Marketing,Marketing Executive,2021-12-04T00:00:00.000Z,"Jennifershire, Angola",1.0,3.0,Resigned,Remote,443930.0,Specialist
89,EMP0000090,Donald Barr,Operations,Logistics Coordinator,2018-07-11T00:00:00.000Z,"Barrybury, Micronesia",4.0,7.0,Active,On-site,878513.0,Analyst
90,EMP0000091,Steven Peters,IT,DevOps Engineer,2023-11-26T00:00:00.000Z,"Tarabury, Madagascar",5.0,1.0,Resigned,Remote,705315.0,Specialist
91,EMP0000092,Robert Turner,Finance,Accountant,2025-01-24T00:00:00.000Z,"Johnsonview, Saint Kitts and Nevis",5.0,0.0,Active,Remote,892717.0,Specialist
92,EMP0000093,Kayla Stanton,IT,DevOps Engineer,2018-04-28T00:00:00.000Z,"West Christianstad, Guinea",4.0,7.0,Resigned,On-site,638924.0,Analyst
93,EMP0000094,Melissa Soto,Marketing,Marketing Executive,2012-08-29T00:00:00.000Z,"Garciachester, Uzbekistan",4.0,12.0,Active,Remote,1171656.0,Principal
94,EMP0000095,Eric Sawyer,IT,Software Engineer,2017-06-17T00:00:00.000Z,"West Stephaniechester, Lebanon",3.0,8.0,Active,On-site,1729436.0,Analyst
95,EMP0000096,Kevin Wilson,IT,Software Engineer,2018-01-25T00:00:00.000Z,"North Kevinbury, Yemen",2.0,7.0,Active,On-site,1248724.0,Analyst
96,EMP0000097,Robert Barton,Marketing,Content Strategist,2018-06-25T00:00:00.000Z,"West Rachel, Iceland",4.0,7.0,Resigned,On-site,574729.0,Analyst
97,EMP0000098,Nicholas Pratt,R&D,Lab Technician,2012-03-31T00:00:00.000Z,"Lake Sarahmouth, Saint Pierre and Miquelon",4.0,13.0,Active,On-site,1150240.0,Principal
98,EMP0000099,Keith Brown,Operations,Logistics Coordinator,2018-07-17T00:00:00.000Z,"East Dana, Gabon",1.0,7.0,Active,Remote,724986.0,Analyst
99,EMP0000100,Joshua Hall,IT,DevOps Engineer,2025-02-18T00:00:00.000Z,"North Melissaburgh, Qatar",3.0,0.0,Active,On-site,584045.0,Specialist
100,EMP0000101,Johnny Shepard,Finance,Accountant,2023-02-02T00:00:00.000Z,"North Briannatown, Cuba",4.0,2.0,Terminated,On-site,892140.0,Specialist
101,EMP0000102,Brandon Snyder,Finance,Financial Analyst,2017-07-12T00:00:00.000Z,"South Mollyton, Tanzania",1.0,8.0,Resigned,On-site,1351062.0,Analyst
102,EMP0000103,Cesar Morgan,IT,DevOps Engineer,2021-04-16T00:00:00.000Z,"Sellersfort, Myanmar",4.0,4.0,Active,On-site,654677.0,Analyst
103,EMP0000104,Tamara Wilson,Finance,Finance Manager,2023-01-10T00:00:00.000Z,"South Stevenmouth, South Georgia and the South Sandwich Islands",2.0,2.0,Resigned,On-site,2118072.0,Specialist
104,EMP0000105,Dwayne Colon,IT,DevOps Engineer,2021-12-10T00:00:00.000Z,"Port Davidbury, South Africa",3.0,3.0,Active,On-site,894327.0,Specialist
105,EMP0000106,Joseph Green,Sales,Sales Executive,2020-06-13T00:00:00.000Z,"Kimberlyside, French Guiana",3.0,5.0,Retired,Remote,687405.0,Analyst
106,EMP0000107,Gregory Lyons,Marketing,SEO Specialist,2021-01-08T00:00:00.000Z,"Hobbsfort, Burkina Faso",1.0,4.0,Active,On-site,806908.0,Analyst
107,EMP0000108,Traci Norman,Sales,Business Development Manager,2023-11-13T00:00:00.000Z,"Floresport, American Samoa",3.0,1.0,Active,Remote,1631212.0,Specialist
108,EMP0000109,Mrs. Melissa Manning,R&D,Research Scientist,2018-06-02T00:00:00.000Z,"West Caleb, Papua New Guinea",5.0,7.0,Active,Remote,612751.0,Analyst
109,EMP0000110,Robert Cox,Sales,Business Development Manager,2012-10-29T00:00:00.000Z,"Nathanside, United Kingdom",4.0,12.0,Resigned,On-site,1056152.0,Principal
110,EMP0000111,Christopher Kelly,Sales,Account Manager,2022-08-30T00:00:00.000Z,"Gabriellachester, Namibia",5.0,2.0,Resigned,On-site,500185.0,Specialist
111,EMP0000112,Robert Garrett,Marketing,Marketing Executive,2024-04-05T00:00:00.000Z,"North Ericburgh, Libyan Arab Jamahiriya",1.0,1.0,Active,On-site,1092065.0,Specialist
112,EMP0000113,Joanna Santos,R&D,Product Developer,2024-05-28T00:00:00.000Z,"Lake Kayla, Morocco",5.0,1.0,Active,Remote,657926.0,Specialist
113,EMP0000114,Miguel Williams,Finance,CFO,2018-09-01T00:00:00.000Z,"Christopherland, Cook Islands",3.0,6.0,Active,Remote,883003.0,Executive
114,EMP0000115,Adam Williams,IT,Software Engineer,2024-04-08T00:00:00.000Z,"Donnafort, Uzbekistan",3.0,1.0,Active,On-site,1748535.0,Specialist
115,EMP0000116,Nicole Arnold,HR,Talent Acquisition Specialist,2013-02-09T00:00:00.000Z,"Coxside, Papua New Guinea",4.0,12.0,Active,On-site,1132600.0,Principal
116,EMP0000117,Vicki Ritter,IT,Software Engineer,2024-12-20T00:00:00.000Z,"Alexandermouth, Cuba",3.0,0.0,Active,On-site,620800.0,Specialist
117,EMP0000118,Victoria Kelly,HR,HR Manager,2011-06-05T00:00:00.000Z,"Christinebury, Tuvalu",2.0,14.0,Active,Remote,1122849.0,Principal
118,EMP0000119,James Banks,R&D,Research Scientist,2020-02-25T00:00:00.000Z,"East Markborough, Portugal",2.0,5.0,Active,Remote,749780.0,Analyst
119,EMP0000120,Brooke Parker,Operations,Operations Executive,2020-07-13T00:00:00.000Z,"Wardmouth, Saint Lucia",1.0,5.0,Resigned,On-site,879087.0,Analyst
120,EMP0000121,Michael Jacobs,Sales,Sales Executive,2024-02-22T00:00:00.000Z,"New Jeremystad, Latvia",4.0,1.0,Resigned,On-site,739283.0,Specialist
121,EMP0000122,Vanessa Brown,IT,Data Analyst,2017-08-14T00:00:00.000Z,"South Teresa, Liechtenstein",3.0,8.0,Terminated,On-site,495474.0,Analyst
122,EMP0000123,Cynthia Hanna,Marketing,Marketing Executive,2022-08-08T00:00:00.000Z,"Espinozaview, Ethiopia",5.0,3.0,Active,Remote,611516.0,Specialist
123,EMP0000124,Darren Perez,Operations,Operations Executive,2013-10-26T00:00:00.000Z,"North Jeffreytown, Netherlands",2.0,11.0,Active,On-site,577474.0,Manager
124,EMP0000125,Sharon Miller,Operations,Operations Executive,2022-02-25T00:00:00.000Z,"Katrinatown, Tunisia",2.0,3.0,Retired,On-site,1065702.0,Specialist
125,EMP0000126,Justin Martinez,IT,Software Engineer,2020-08-29T00:00:00.000Z,"Annachester, Niger",3.0,4.0,Active,On-site,641082.0,Analyst
126,EMP0000127,Emily Palmer,Marketing,Content Strategist,2020-09-23T00:00:00.000Z,"Port Brandonfurt, Saint Barthelemy",4.0,4.0,Active,Remote,769468.0,Analyst
127,EMP0000128,Nicholas Walls,Marketing,SEO Specialist,2019-01-04T00:00:00.000Z,"Robertmouth, Tanzania",1.0,6.0,Active,On-site,603585.0,Analyst
128,EMP0000129,Brandon Boyd,Marketing,Marketing Executive,2016-12-03T00:00:00.000Z,"Lake Taylor, Netherlands",5.0,8.0,Active,Remote,885407.0,Analyst
129,EMP0000130,Natalie Smith,Sales,Account Manager,2023-06-19T00:00:00.000Z,"North Jenny, Gibraltar",2.0,2.0,Active,On-site,1121437.0,Specialist
130,EMP0000131,Vicki Martinez,Operations,Supply Chain Manager,2017-03-31T00:00:00.000Z,"Lake Deniseberg, Argentina",3.0,8.0,Active,On-site,1026657.0,Analyst
131,EMP0000132,James Cordova,Sales,Sales Executive,2021-11-29T00:00:00.000Z,"Natashamouth, British Indian Ocean Territory (Chagos Archipelago)",4.0,3.0,Active,On-site,704809.0,Specialist
132,EMP0000133,Rachel Lopez,IT,Data Analyst,2021-09-18T00:00:00.000Z,"Johnsonfort, Bosnia and Herzegovina",3.0,3.0,Active,Remote,688633.0,Specialist
133,EMP0000134,David Escobar,IT,Software Engineer,2015-08-14T00:00:00.000Z,"New Nicholastown, Martinique",1.0,10.0,Active,Remote,1346567.0,Manager
134,EMP0000135,Dawn Lyons,IT,Data Analyst,2023-04-13T00:00:00.000Z,"South Sandrabury, Nicaragua",3.0,2.0,Active,Remote,498316.0,Specialist
135,EMP0000136,Shannon Robinson,R&D,Research Scientist,2022-01-31T00:00:00.000Z,"Amyton, Antigua and Barbuda",5.0,3.0,Active,Remote,522612.0,Specialist
136,EMP0000137,David Simmons,Sales,Sales Executive,2014-08-25T00:00:00.000Z,"Lake Jennaland, Gabon",5.0,10.0,Active,On-site,532749.0,Manager
137,EMP0000138,Mark David,IT,Software Engineer,2017-12-05T00:00:00.000Z,"New Annemouth, Honduras",2.0,7.0,Resigned,Remote,1654930.0,Analyst
138,EMP0000139,Thomas Moore,Sales,Account Manager,2017-07-20T00:00:00.000Z,"Lake Saraside, Greenland",1.0,8.0,Retired,Remote,765399.0,Analyst
139,EMP0000140,Heather Anderson,IT,Software Engineer,2019-02-13T00:00:00.000Z,"Hernandezmouth, Lesotho",2.0,6.0,Active,On-site,1398194.0,Analyst
140,EMP0000141,Robert Lee,Marketing,Content Strategist,2020-11-27T00:00:00.000Z,"Jonathanberg, Lesotho",4.0,4.0,Resigned,Remote,1035195.0,Analyst
141,EMP0000142,Jennifer Harrison,Operations,Operations Executive,2015-10-23T00:00:00.000Z,"Mariahchester, American Samoa",5.0,9.0,Resigned,Remote,456737.0,Manager
142,EMP0000143,Benjamin Faulkner,R&D,Product Developer,2012-12-08T00:00:00.000Z,"Port Jessicamouth, Guinea",1.0,12.0,Active,On-site,742655.0,Principal
143,EMP0000144,Jane Mcintyre,IT,IT Manager,2024-09-16T00:00:00.000Z,"Housemouth, Guam",4.0,0.0,Active,On-site,2194883.0,Specialist
144,EMP0000145,Kimberly Thomas,Sales,Account Manager,2021-07-12T00:00:00.000Z,"Stuartberg, Cook Islands",5.0,4.0,Active,On-site,536360.0,Analyst
145,EMP0000146,Charlotte Fox,IT,Software Engineer,2019-03-09T00:00:00.000Z,"Masonville, Vanuatu",5.0,6.0,Active,Remote,1771742.0,Analyst
146,EMP0000147,Jeffery Wilson,Operations,Logistics Coordinator,2017-04-14T00:00:00.000Z,"Mitchellberg, Madagascar",2.0,8.0,Retired,Remote,505737.0,Analyst
147,EMP0000148,Nicholas Parker,R&D,Research Scientist,2020-05-05T00:00:00.000Z,"Justinside, Philippines",3.0,5.0,Resigned,On-site,570314.0,Analyst
148,EMP0000149,Lisa Maxwell,IT,Software Engineer,2023-09-20T00:00:00.000Z,"Dominiqueshire, Libyan Arab Jamahiriya",5.0,1.0,Active,On-site,1062363.0,Specialist
149,EMP0000150,Judy Ramos,Operations,Operations Executive,2023-09-07T00:00:00.000Z,"Port Blake, Taiwan",2.0,1.0,Retired,On-site,967082.0,Specialist
150,EMP0000151,Ronald Wall,Marketing,Marketing Executive,2022-10-19T00:00:00.000Z,"Reynoldsside, Spain",1.0,2.0,Active,Remote,973327.0,Specialist
151,EMP0000152,Connie Brown,Marketing,Marketing Executive,2024-04-30T00:00:00.000Z,"Josephburgh, Singapore",5.0,1.0,Active,On-site,1038353.0,Specialist
152,EMP0000153,George Morales,Finance,Accountant,2013-09-30T00:00:00.000Z,"Knoxfort, Dominican Republic",2.0,11.0,Active,On-site,716501.0,Manager
153,EMP0000154,Riley Hansen,IT,CTO,2024-05-31T00:00:00.000Z,"West Amandaville, Lao People's Democratic Republic",4.0,1.0,Active,Remote,802570.0,Executive
154,EMP0000155,Jeremy Taylor,Operations,Operations Executive,2011-01-05T00:00:00.000Z,"Stephanieton, Cook Islands",3.0,14.0,Active,Remote,961144.0,Principal
155,EMP0000156,Scott Perry,IT,Software Engineer,2019-11-03T00:00:00.000Z,"South Adamchester, Liberia",5.0,5.0,Resigned,On-site,896063.0,Analyst
156,EMP0000157,Taylor Morris,Marketing,SEO Specialist,2011-04-11T00:00:00.000Z,"Phamtown, Botswana",4.0,14.0,Active,On-site,602165.0,Principal
157,EMP0000158,Kevin Reynolds,Operations,Operations Executive,2018-05-24T00:00:00.000Z,"West John, Nepal",2.0,7.0,Resigned,On-site,1137477.0,Analyst
158,EMP0000159,Brendan Ruiz,Marketing,Marketing Executive,2018-09-22T00:00:00.000Z,"South Sarahville, Western Sahara",1.0,6.0,Resigned,Remote,551409.0,Analyst
159,EMP0000160,Matthew Rodgers,Operations,Operations Executive,2017-09-05T00:00:00.000Z,"South Michaelberg, Faroe Islands",3.0,7.0,Active,Remote,521674.0,Analyst
160,EMP0000161,Tammy Smith,IT,IT Manager,2017-03-13T00:00:00.000Z,"Meyerton, Portugal",2.0,8.0,Active,Remote,2908256.0,Analyst
